PassengerId,Survived,Pclass,Age,Sex,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,22,male,1,0,7.25,N,S
2,1,1,38,female,1,0,71.2833,C,C
3,1,3,26,female,0,0,7.925,N,S
4,1,1,35,female,1,0,53.1,C,S
5,0,3,35,male,0,0,8.05,N,S
6,0,3,24,male,0,0,8.4583,N,Q
7,0,1,54,male,0,0,51.8625,E,S
8,0,3,2,male,3,1,21.075,N,S
9,1,3,27,female,0,2,11.1333,N,S
10,1,2,14,female,1,0,30.0708,N,C
11,1,3,4,female,1,1,16.7,G,S
12,1,1,58,female,0,0,26.55,C,S
13,0,3,20,male,0,0,8.05,N,S
14,0,3,39,male,1,5,31.275,N,S
15,0,3,14,female,0,0,7.8542,N,S
16,1,2,55,female,0,0,16,N,S
17,0,3,2,male,4,1,29.125,N,Q
18,1,2,24,male,0,0,13,N,S
19,0,3,31,female,1,0,18,N,S
20,1,3,24,female,0,0,7.225,N,C
21,0,2,35,male,0,0,26,N,S
22,1,2,34,male,0,0,13,D,S
23,1,3,15,female,0,0,8.0292,N,Q
24,1,1,28,male,0,0,35.5,A,S
25,0,3,8,female,3,1,21.075,N,S
26,1,3,38,female,1,5,31.3875,N,S
27,0,3,24,male,0,0,7.225,N,C
28,0,1,19,male,3,2,263,C,S
29,1,3,24,female,0,0,7.8792,N,Q
30,0,3,24,male,0,0,7.8958,N,S
31,0,1,40,male,0,0,27.7208,N,C
32,1,1,24,female,1,0,146.5208,B,C
33,1,3,24,female,0,0,7.75,N,Q
34,0,2,66,male,0,0,10.5,N,S
35,0,1,28,male,1,0,82.1708,N,C
36,0,1,42,male,1,0,52,N,S
37,1,3,24,male,0,0,7.2292,N,C
38,0,3,21,male,0,0,8.05,N,S
39,0,3,18,female,2,0,18,N,S
40,1,3,14,female,1,0,11.2417,N,C
41,0,3,40,female,1,0,9.475,N,S
42,0,2,27,female,1,0,21,N,S
43,0,3,24,male,0,0,7.8958,N,C
44,1,2,3,female,1,2,41.5792,N,C
45,1,3,19,female,0,0,7.8792,N,Q
46,0,3,24,male,0,0,8.05,N,S
47,0,3,24,male,1,0,15.5,N,Q
48,1,3,24,female,0,0,7.75,N,Q
49,0,3,24,male,2,0,21.6792,N,C
50,0,3,18,female,1,0,17.8,N,S
51,0,3,7,male,4,1,39.6875,N,S
52,0,3,21,male,0,0,7.8,N,S
53,1,1,49,female,1,0,76.7292,D,C
54,1,2,29,female,1,0,26,N,S
55,0,1,65,male,0,1,61.9792,B,C
56,1,1,24,male,0,0,35.5,C,S
57,1,2,21,female,0,0,10.5,N,S
58,0,3,28.5,male,0,0,7.2292,N,C
59,1,2,5,female,1,2,27.75,N,S
60,0,3,11,male,5,2,46.9,N,S
61,0,3,22,male,0,0,7.2292,N,C
62,1,1,38,female,0,0,80,B,S
63,0,1,45,male,1,0,83.475,C,S
64,0,3,4,male,3,2,27.9,N,S
65,0,1,24,male,0,0,27.7208,N,C
66,1,3,24,male,1,1,15.2458,N,C
67,1,2,29,female,0,0,10.5,F,S
68,0,3,19,male,0,0,8.1583,N,S
69,1,3,17,female,4,2,7.925,N,S
70,0,3,26,male,2,0,8.6625,N,S
71,0,2,32,male,0,0,10.5,N,S
72,0,3,16,female,5,2,46.9,N,S
73,0,2,21,male,0,0,73.5,N,S
74,0,3,26,male,1,0,14.4542,N,C
75,1,3,32,male,0,0,56.4958,N,S
76,0,3,25,male,0,0,7.65,F,S
77,0,3,24,male,0,0,7.8958,N,S
78,0,3,24,male,0,0,8.05,N,S
79,1,2,0.83,male,0,2,29,N,S
80,1,3,30,female,0,0,12.475,N,S
81,0,3,22,male,0,0,9,N,S
82,1,3,29,male,0,0,9.5,N,S
83,1,3,24,female,0,0,7.7875,N,Q
84,0,1,28,male,0,0,47.1,N,S
85,1,2,17,female,0,0,10.5,N,S
86,1,3,33,female,3,0,15.85,N,S
87,0,3,16,male,1,3,34.375,N,S
88,0,3,24,male,0,0,8.05,N,S
89,1,1,23,female,3,2,263,C,S
90,0,3,24,male,0,0,8.05,N,S
91,0,3,29,male,0,0,8.05,N,S
92,0,3,20,male,0,0,7.8542,N,S
93,0,1,46,male,1,0,61.175,E,S
94,0,3,26,male,1,2,20.575,N,S
95,0,3,59,male,0,0,7.25,N,S
96,0,3,24,male,0,0,8.05,N,S
97,0,1,71,male,0,0,34.6542,A,C
98,1,1,23,male,0,1,63.3583,D,C
99,1,2,34,female,0,1,23,N,S
100,0,2,34,male,1,0,26,N,S
101,0,3,28,female,0,0,7.8958,N,S
102,0,3,24,male,0,0,7.8958,N,S
103,0,1,21,male,0,1,77.2875,D,S
104,0,3,33,male,0,0,8.6542,N,S
105,0,3,37,male,2,0,7.925,N,S
106,0,3,28,male,0,0,7.8958,N,S
107,1,3,21,female,0,0,7.65,N,S
108,1,3,24,male,0,0,7.775,N,S
109,0,3,38,male,0,0,7.8958,N,S
110,1,3,24,female,1,0,24.15,N,Q
111,0,1,47,male,0,0,52,C,S
112,0,3,14.5,female,1,0,14.4542,N,C
113,0,3,22,male,0,0,8.05,N,S
114,0,3,20,female,1,0,9.825,N,S
115,0,3,17,female,0,0,14.4583,N,C
116,0,3,21,male,0,0,7.925,N,S
117,0,3,70.5,male,0,0,7.75,N,Q
118,0,2,29,male,1,0,21,N,S
119,0,1,24,male,0,1,247.5208,B,C
120,0,3,2,female,4,2,31.275,N,S
121,0,2,21,male,2,0,73.5,N,S
122,0,3,24,male,0,0,8.05,N,S
123,0,2,32.5,male,1,0,30.0708,N,C
124,1,2,32.5,female,0,0,13,E,S
125,0,1,54,male,0,1,77.2875,D,S
126,1,3,12,male,1,0,11.2417,N,C
127,0,3,24,male,0,0,7.75,N,Q
128,1,3,24,male,0,0,7.1417,N,S
129,1,3,24,female,1,1,22.3583,F,C
130,0,3,45,male,0,0,6.975,N,S
131,0,3,33,male,0,0,7.8958,N,C
132,0,3,20,male,0,0,7.05,N,S
133,0,3,47,female,1,0,14.5,N,S
134,1,2,29,female,1,0,26,N,S
135,0,2,25,male,0,0,13,N,S
136,0,2,23,male,0,0,15.0458,N,C
137,1,1,19,female,0,2,26.2833,D,S
138,0,1,37,male,1,0,53.1,C,S
139,0,3,16,male,0,0,9.2167,N,S
140,0,1,24,male,0,0,79.2,B,C
141,0,3,24,female,0,2,15.2458,N,C
142,1,3,22,female,0,0,7.75,N,S
143,1,3,24,female,1,0,15.85,N,S
144,0,3,19,male,0,0,6.75,N,Q
145,0,2,18,male,0,0,11.5,N,S
146,0,2,19,male,1,1,36.75,N,S
147,1,3,27,male,0,0,7.7958,N,S
148,0,3,9,female,2,2,34.375,N,S
149,0,2,36.5,male,0,2,26,F,S
